string:9606.ENSP00000299402	string:9606.ENSP00000284981	APBB1	APP	-	-	-	-	-	taxid:9606	taxid:9606	-	-	-	score:0.999|escore:0.999|dscore:0.8|tscore:0.971
string:9606.ENSP00000355747	string:9606.ENSP00000294785	PSEN2	NCSTN	-	-	-	-	-	taxid:9606	taxid:9606	-	-	-	score:0.999|escore:0.919|dscore:0.9|tscore:0.952
string:10090.ENSMUSP00000044682	string:10090.ENSMUSP00000003550	Psenen	Ncstn	-	-	-	-	-	taxid:10090	taxid:10090	-	-	-	score:0.999|escore:0.756|dscore:0.954|tscore:0.987
string:9615.ENSCAFP00000025465	string:9615.ENSCAFP00000020931	IL12B	IL12A	-	-	-	-	-	taxid:9615	taxid:9615	-	-	-	score:0.999|escore:0.911|dscore:0.926|tscore:0.939
string:9615.ENSCAFP00000014526	string:9615.ENSCAFP00000005151	BTRC	CUL1	-	-	-	-	-	taxid:9615	taxid:9615	-	-	-	score:0.999|ascore:0.07|escore:0.957|dscore:0.954|tscore:0.535
string:9615.ENSCAFP00000019655	string:9615.ENSCAFP00000001585	RELA	EP300	-	-	-	-	-	taxid:9615	taxid:9615	-	-	-	score:0.999|escore:0.957|dscore:0.963|tscore:0.658
string:9615.ENSCAFP00000031755	string:9615.ENSCAFP00000018497	PSEN1	NCSTN	-	-	-	-	-	taxid:9615	taxid:9615	-	-	-	score:0.999|escore:0.957|dscore:0.954|tscore:0.932
string:9615.ENSCAFP00000019655	string:9615.ENSCAFP00000008270	RELA	IKBKB	-	-	-	-	-	taxid:9615	taxid:9615	-	-	-	score:0.999|escore:0.937|dscore:0.963|tscore:0.841
string:10116.ENSRNOP00000012495	string:10116.ENSRNOP00000008150	Psen1	Ncstn	-	-	-	-	-	taxid:10116	taxid:10116	-	-	-	score:0.999|escore:0.97|dscore:0.954|tscore:0.939
string:9606.ENSP00000326366	string:9606.ENSP00000284981	PSEN1	APP	-	-	-	-	-	taxid:9606	taxid:9606	-	-	-	score:0.999|escore:0.965|dscore:0.9|tscore:0.994
string:9606.ENSP00000294785	string:9606.ENSP00000222266	NCSTN	PSENEN	-	-	-	-	-	taxid:9606	taxid:9606	-	-	-	score:0.999|escore:0.961|dscore:0.9|tscore:0.993
string:10090.ENSMUSP00000058846	string:10090.ENSMUSP00000003550	Aph1a	Ncstn	-	-	-	-	-	taxid:10090	taxid:10090	-	-	-	score:0.999|escore:0.779|dscore:0.947|tscore:0.995
string:9606.ENSP00000326366	string:9606.ENSP00000222266	PSEN1	PSENEN	-	-	-	-	-	taxid:9606	taxid:9606	-	-	-	score:0.999|escore:0.963|dscore:0.9|tscore:0.984
string:9615.ENSCAFP00000010159	string:9615.ENSCAFP00000007386	TRAF6	MYD88	-	-	-	-	-	taxid:9615	taxid:9615	-	-	-	score:0.999|escore:0.905|dscore:0.96|tscore:0.839
